Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2534_1153,42,34.7775,8.187118530273438,5.727273464202881,10.274999999999999,4.406569343065693,3.78901031662598,0.57784855,0.74614704,0.50003636,,0.746421,0.93851197,0.734619,
2534_1153,43,20.4375,10.239755630493164,5.296009540557861,4.635,4.87108953613808,4.4597075672396995,0.7401198,0.8990643,0.63847685,,0.8094326,0.9635126,0.72360075,
2534_1153,44,24.38,9.700163841247559,5.904674530029297,10.4025,6.249459264599856,4.008194600638028,0.69540614,0.82689524,0.71703076,,0.81597424,0.9474801,0.8542648,
2534_1155,00,22.05,6.257369518280029,3.4440419673919678,18.87,2.1955484896661366,1.553300093461066,,,,,,,,
2534_1155,01,20.674999999999997,5.265900611877441,2.6821610927581787,21.6875,2.8089913544668588,2.749660679602338,0.5098296,0.71039283,0.32848978,,0.81223965,0.95580155,0.5955628,
2534_1155,02,19.787499999999998,5.558686256408691,3.1024105548858643,19.265,3.5974565273812615,3.164396696961452,0.5522917,0.64349747,0.50277615,,0.86546355,0.9296993,0.839419,
2534_1155,03,8.870000000000001,5.375986576080322,2.564854145050049,15.479999999999999,7.005975452196383,5.556568076618434,0.5805733,0.7134114,0.4491446,,0.8624416,0.9701734,0.74946266,
2534_1155,04,18.709999999999997,6.165419578552246,2.656416416168213,20.95,4.358472553699284,3.43603584046782,0.585461,0.7240162,0.48293692,,0.89945185,0.967888,0.8043741,
2534_1155,10,11.035,7.515405654907227,5.983826160430908,44.3925,8.031593174522724,6.574182269597267,,,,,,,,
2534_1155,11,12.4825,4.690165996551514,1.8622547388076782,48.1475,9.395088010800146,6.520951528233824,0.34352338,0.47371674,0.3483644,,0.82837737,0.9924246,0.9096683,
2534_1155,12,5.1075,10.933920860290527,2.727112293243408,33.0025,7.604196651768805,4.920202009261963,0.44857192,0.56497353,0.3900693,,0.84438795,0.96606135,0.8741777,
2534_1155,13,5.1175,5.145578861236572,3.051793336868286,22.96,7.736824912891986,5.975003333196881,0.6417631,0.7691675,0.5690579,,0.8328142,0.9827182,0.8773193,
2534_1155,14,9.815,6.471981525421143,3.2583768367767334,49.885000000000005,8.912699208178811,7.298617449859595,0.42480198,0.55612946,0.3973186,,0.8385356,0.9857147,0.8674743,
2534_1155,20,12.657499999999999,9.579300880432129,7.767558574676514,21.942500000000003,4.795146405377691,3.8910430098273108,,,,,,,,
2534_1155,21,24.87,8.358765602111816,5.926168918609619,10.41,6.367195004803074,4.029000265654928,0.44609576,0.5075564,0.42909342,,0.91439295,0.9506962,0.9307097,
2534_1155,22,13.977500000000001,8.216776847839355,3.8356335163116455,8.14,6.697174447174447,4.423226264977839,0.67263186,0.77670085,0.62814695,,0.93205786,0.9881223,0.96651524,
2534_1155,23,20.3425,7.156691551208496,2.2733020782470703,8.98,3.3872494432071267,2.861129561488292,0.7933763,0.8925866,0.7905954,,0.9003443,0.98556,0.9425252,
2534_1155,24,0.5725,4.344978332519531,1.2393593788146973,70.77,11.600501624982337,7.829938488092883,0.5171277,0.60632455,0.52198905,,0.8858489,0.99859774,0.96155703,
2534_1155,30,21.25,10.699058532714844,5.430829048156738,21.0625,7.858160237388724,5.112729229687838,,,,,,,,
2534_1155,31,7.71,9.986381530761719,5.798593044281006,10.424999999999999,5.658513189448441,4.572195259613512,0.68239933,0.7927425,0.5786439,,0.848459,0.92863727,0.7613433,
2534_1155,32,2.56,6.1455078125,1.7703392505645752,8.75,5.661142857142857,4.218060333801763,0.72472525,0.8804721,0.85835636,,0.88682145,0.9987149,0.9638846,
2534_1155,33,6.905,6.395727634429932,1.574883222579956,16.8325,3.3222931828308333,2.6206410214532423,0.66820186,0.8653354,0.78444976,,0.87024534,0.99257195,0.9489639,
2534_1155,34,5.235,4.68099308013916,2.621535062789917,26.7625,6.873797290985521,5.081976285361924,0.66298425,0.7921761,0.7074659,,0.88573956,0.99513763,0.97663784,
2534_1155,40,20.0625,8.352273941040039,4.345730781555176,18.475,5.253585926928282,4.533722388643248,,,,,,,,
2534_1155,41,17.2125,5.009150505065918,2.398026943206787,28.2775,4.316329237025904,3.6493868526280546,0.45488298,0.6757995,0.48073563,,0.7614151,0.9697455,0.8578547,
2534_1155,42,10.0625,4.720497131347656,2.0002832412719727,29.895,5.520655628031443,4.6651587479053065,0.5311477,0.6422498,0.45959234,,0.871522,0.98137814,0.9009192,
