Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2537_1150,31,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,32,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,33,2.65,4.638679027557373,2.1983299255371094,8.7025,7.4268888250502725,5.4494001368737495,,,,,,,,
2537_1150,34,16.775000000000002,12.464530944824219,8.561629295349121,21.3,8.36537558685446,6.362001945586635,0.49374717,0.63495606,0.45629174,,0.912622,0.98360634,0.89738846,
2537_1150,40,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,41,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,43,0.0,0.0,0.0,3.1425,8.479713603818615,4.395858749132063,,,,,,,,
2537_1150,44,2.1425,8.696616172790527,5.595372676849365,9.4975,5.260068439062911,3.4304679937315083,0.81445336,0.8594325,0.30062374,,0.9801094,0.9941882,0.83509445,
2537_1151,00,2.68,5.214552402496338,2.896641731262207,1.8775,6.9400798934753665,4.719890708749353,0.8077351,0.9162259,0.7672591,,0.9031113,0.982161,0.8687859,
2537_1151,01,11.0125,8.261521339416504,3.2669613361358643,25.027500000000003,10.620017980221757,6.6137386663380555,0.5693995,0.68232983,0.54489374,,0.92090774,0.9893255,0.8992777,
2537_1151,02,19.8625,8.694650650024414,3.5756540298461914,23.555,7.773827212905965,5.890559113404274,0.4117038,0.6106435,0.36710006,,0.7835116,0.9670192,0.84474206,
2537_1151,03,19.4925,10.853148460388184,8.087890625,30.209999999999997,6.9253558424362796,5.210709687368336,0.51521415,0.6931761,0.4785292,,0.82522976,0.9617566,0.74791694,
2537_1151,04,32.0175,12.824626922607422,6.825538158416748,25.424999999999997,5.329990167158309,4.964778134734752,0.36224458,0.6051489,0.27092785,,0.6559472,0.8849957,0.3938672,
2537_1151,10,10.94,6.489488124847412,2.863097906112671,23.265,6.5867182462927145,4.689023979648133,,,,,,,,
2537_1151,11,17.0825,9.674520492553711,6.890417098999023,39.4,7.777728426395939,5.5649851585222265,0.30846497,0.4273178,0.2458862,,0.8745626,0.9772519,0.92674994,
2537_1151,12,19.0975,11.401885032653809,6.616831302642822,38.0325,7.486163149937553,6.041086876355431,0.270913,0.5154562,0.20534341,,0.6763287,0.9460624,0.6483022,
